iter	Tweedie:variance_power=1.1
0	657.9960876
1	641.5517877
2	626.209899
3	611.9151115
4	598.619441
5	586.4385109
6	575.3106692
7	565.2072377
8	556.1051156
9	547.9347906
10	540.6040933
11	534.0003651
12	528.1657425
13	522.9081833
14	518.2968327
15	514.117868
16	510.3958274
17	507.0710961
18	504.0889119
19	501.3970078
20	498.9572607
21	496.7752389
22	494.8068123
23	493.0259593
24	491.4100244
25	489.9353925
26	488.5953125
27	487.3766554
28	486.2565876
29	485.2366486
30	484.3062341
31	483.4473159
32	482.6463163
33	481.9149198
34	481.2393877
35	480.6187078
36	480.0456582
37	479.526759
38	479.0410495
39	478.589174
40	478.1638073
41	477.7805093
42	477.4085538
43	477.0703703
44	476.7653641
45	476.4748318
46	476.211145
47	475.9574893
48	475.7338821
49	475.5086375
50	475.3079145
51	475.1125399
52	474.9401365
53	474.7695878
54	474.618605
55	474.4716703
56	474.3296901
57	474.2064113
58	474.0901849
59	473.9766514
60	473.8668282
61	473.7707686
62	473.6715953
63	473.5851722
64	473.5066401
65	473.4333898
66	473.3623031
67	473.299796
68	473.2389916
69	473.18449
70	473.1312592
71	473.0781409
72	473.0276989
73	472.9754273
74	472.9261067
75	472.8639675
76	472.8245711
77	472.7873105
78	472.7512106
79	472.7197455
80	472.6798599
81	472.6465333
82	472.6142883
83	472.5848153
84	472.5507782
85	472.528487
86	472.5044185
87	472.475986
88	472.4514087
89	472.4284128
90	472.4094845
91	472.390602
92	472.3703085
93	472.3526585
94	472.338101
95	472.3227858
96	472.3076646
97	472.2948783
98	472.2812792
99	472.2683969
100	472.2542252
101	472.2419088
102	472.231678
103	472.2190873
104	472.1983781
105	472.1868936
106	472.1749664
107	472.1627436
108	472.1491477
109	472.1399163
110	472.1310506
111	472.1216784
112	472.0894333
113	472.0663652
114	472.0406693
115	472.0330847
116	472.0285346
117	472.0185928
118	472.0098969
119	472.0046045
120	471.9851342
121	471.9790121
122	471.9733262
123	471.9661709
124	471.9578624
125	471.9524042
126	471.9418243
127	471.9287795
128	471.9258419
129	471.9199793
130	471.9149554
131	471.9110778
132	471.9086271
133	471.8877748
134	471.8845403
135	471.8788138
136	471.8624442
137	471.8573639
138	471.8442546
139	471.825802
140	471.8219101
141	471.8167025
142	471.8144239
143	471.8139378
144	471.8078484
145	471.8058475
146	471.8023895
147	471.8006376
148	471.7990195
149	471.7972397
150	471.7785751
151	471.7756023
152	471.7732956
153	471.7689555
154	471.7558209
155	471.753494
156	471.7512906
157	471.7484294
158	471.7458466
159	471.7408424
160	471.7359547
161	471.7325919
162	471.7310993
163	471.7296897
164	471.7261586
165	471.7087416
166	471.6945927
167	471.6910443
168	471.6778527
169	471.6758248
170	471.6650533
171	471.6513498
172	471.6427711
173	471.6354533
174	471.6353643
175	471.6303584
176	471.626696
177	471.6244688
178	471.6202933
179	471.6093899
180	471.607419
181	471.5975016
182	471.5948303
183	471.592337
184	471.590079
185	471.5802372
186	471.5789169
187	471.5761494
188	471.5740451
189	471.5646644
190	471.5619783
191	471.5592832
192	471.5573542
193	471.5477392
194	471.5448084
195	471.5416024
196	471.5377205
197	471.5354781
198	471.5348903
199	471.5319999
200	471.5279612
201	471.5269902
202	471.5200078
203	471.5162789
204	471.5139402
205	471.5107228
206	471.5081483
207	471.5045653
208	471.501439
209	471.5004794
210	471.4995108
211	471.4982158
212	471.4969037
213	471.4928868
214	471.4905748
215	471.4875026
216	471.4801352
217	471.4788498
218	471.4782302
219	471.4753609
220	471.47244
221	471.4717866
222	471.4678342
223	471.4665452
224	471.460252
225	471.4581024
226	471.456641
227	471.4494762
228	471.4475161
229	471.4460427
230	471.4441844
231	471.4413467
232	471.4405302
233	471.4386627
234	471.4368094
235	471.4346158
236	471.4331988
237	471.4301221
238	471.4279627
239	471.4251029
240	471.424423
241	471.4216964
242	471.4153561
243	471.4143457
244	471.4112838
245	471.4056317
246	471.4051703
247	471.3980451
248	471.3972164
249	471.3954873
250	471.3938123
251	471.3881037
252	471.3826176
253	471.3773318
254	471.3761607
255	471.3745794
256	471.3726402
257	471.3719504
258	471.3688599
259	471.367395
260	471.3608906
261	471.3599861
262	471.3561011
263	471.355923
264	471.3542142
265	471.3461913
266	471.343075
267	471.3429396
268	471.3408892
269	471.3353735
270	471.332331
271	471.3306697
272	471.3280068
273	471.3258788
274	471.32191
275	471.3201648
276	471.3191721
277	471.3175144
278	471.3161094
279	471.3116962
280	471.310383
281	471.3073877
282	471.3067094
283	471.304748
284	471.2998738
285	471.2989189
286	471.2982491
287	471.2964234
288	471.2900836
289	471.2848965
290	471.283042
291	471.2814428
292	471.2787143
293	471.2780309
294	471.2766819
295	471.2741357
296	471.2735447
297	471.2723271
298	471.2714853
299	471.2692032
300	471.2688256
301	471.2666319
302	471.2626482
303	471.2624021
304	471.2608309
305	471.2597508
306	471.2579137
307	471.2566769
308	471.2540357
309	471.252093
310	471.2466587
311	471.2432765
312	471.2405757
313	471.2371662
314	471.2356106
315	471.2341517
316	471.2317668
317	471.2299658
318	471.2238394
319	471.223246
320	471.2205136
321	471.2188416
322	471.2182229
323	471.2162704
324	471.2148873
325	471.2140372
326	471.2119372
327	471.2093614
328	471.207352
329	471.2058294
330	471.2018639
331	471.2001721
332	471.196871
333	471.1938233
334	471.1920576
335	471.189023
336	471.1861377
337	471.1851036
338	471.1845762
339	471.1835422
340	471.1818064
341	471.1817979
342	471.1777531
343	471.1767088
344	471.1740467
345	471.1725883
346	471.1706659
347	471.1693202
348	471.1632863
349	471.1603328
350	471.158418
351	471.1555131
352	471.1536168
353	471.1520824
354	471.1491244
355	471.1476963
356	471.1463747
357	471.144428
358	471.143164
359	471.1417157
360	471.1396728
361	471.1385941
362	471.1374143
363	471.1362867
364	471.1354568
365	471.1340024
366	471.1308671
367	471.1280926
368	471.1251766
369	471.1238392
370	471.1221853
371	471.1184635
372	471.1135826
373	471.1130135
374	471.1106224
375	471.109607
376	471.107576
377	471.106628
378	471.1038908
379	471.1031228
380	471.1001493
381	471.0953172
382	471.0936146
383	471.0928331
384	471.0915769
385	471.0906599
386	471.0869193
387	471.0849153
388	471.0826556
389	471.0806985
390	471.0774959
391	471.0761062
392	471.0756276
393	471.0744491
394	471.0739097
395	471.0697318
396	471.0685627
397	471.0674124
398	471.0661909
399	471.0645826
400	471.0612923
401	471.0588024
402	471.0571391
403	471.0557699
404	471.0540533
405	471.0488088
406	471.0475969
407	471.046115
408	471.0430008
409	471.0401942
410	471.039139
411	471.03746
412	471.0370194
413	471.0358585
414	471.0344192
415	471.0323998
416	471.0310224
417	471.0302123
418	471.0271677
419	471.0246416
420	471.0232363
421	471.0224166
422	471.0205902
423	471.0171796
424	471.0143134
425	471.0135206
426	471.0127978
427	471.0108735
428	471.0106882
429	471.01032
430	471.0081787
431	471.007568
432	471.0054893
433	471.0043784
434	471.0016438
435	471.0009347
436	470.9992425
437	470.9970769
438	470.994623
439	470.993376
440	470.9922084
441	470.9905311
442	470.9880686
443	470.98766
444	470.9871837
445	470.9848127
446	470.984543
447	470.9837164
448	470.9827647
449	470.9824292
450	470.9799207
451	470.9788113
452	470.9766498
453	470.9746522
454	470.9718738
455	470.9686401
456	470.9671556
457	470.9654101
458	470.9621274
459	470.9606037
460	470.9589479
461	470.9582716
462	470.957076
463	470.9563625
464	470.9548422
465	470.9522366
466	470.9511426
467	470.949516
468	470.9484879
469	470.9474533
470	470.9458153
471	470.9426219
472	470.9417767
473	470.9414013
474	470.940556
475	470.9401195
476	470.9397638
477	470.9386949
478	470.936618
479	470.9351553
480	470.9329992
481	470.9311179
482	470.9301916
483	470.9290692
484	470.9277636
485	470.9262958
486	470.9253808
487	470.923322
488	470.922626
489	470.9194505
490	470.9182212
491	470.9165955
492	470.9148024
493	470.9141894
494	470.9122951
495	470.9115123
496	470.9095915
497	470.9087805
498	470.9082159
499	470.9073699
500	470.9059039
501	470.9052925
502	470.904129
503	470.9017834
504	470.9011302
505	470.9006943
506	470.8999239
507	470.8990613
508	470.8977464
509	470.8960333
510	470.8954305
511	470.894606
512	470.8936069
513	470.8915479
514	470.8906004
515	470.8866285
516	470.884965
517	470.8843417
518	470.8827559
519	470.8811894
520	470.8804193
521	470.8791636
522	470.8786703
523	470.8776391
524	470.8766277
525	470.8758543
526	470.8745473
527	470.8736553
528	470.8730689
529	470.8724735
530	470.8720252
531	470.8704424
532	470.8696934
533	470.8689388
534	470.8678933
535	470.8668285
536	470.8652274
537	470.8643977
538	470.8635347
539	470.8629175
540	470.8624483
541	470.8620172
542	470.861487
543	470.8599104
544	470.8589707
545	470.8576242
546	470.8553781
547	470.8530156
548	470.8521482
549	470.8512333
550	470.850821
551	470.8501735
552	470.8491096
553	470.8478748
554	470.8469195
555	470.8449536
556	470.8443027
557	470.8435192
558	470.8430077
559	470.8424429
560	470.840807
561	470.8391798
562	470.838246
563	470.8379079
564	470.8367707
565	470.8348829
566	470.8343181
567	470.8333078
568	470.8324301
569	470.8309475
570	470.8300972
571	470.8294629
572	470.8286921
573	470.8283725
574	470.8278519
575	470.8275507
576	470.8268159
577	470.8254512
578	470.8233582
579	470.8221709
580	470.8199619
581	470.8195511
582	470.8187995
583	470.8182246
584	470.8177609
585	470.8165713
586	470.8157493
587	470.8149704
588	470.8135364
589	470.8127855
590	470.8122751
591	470.8118461
592	470.8111725
593	470.8106082
594	470.8101465
595	470.8091502
596	470.8084336
597	470.8076184
598	470.8056106
599	470.8049218
600	470.8046353
601	470.8037711
602	470.8033274
603	470.8025925
604	470.8017062
605	470.8007357
606	470.8001715
607	470.7991815
608	470.7980151
609	470.7963661
610	470.7957138
611	470.7954182
612	470.7937047
613	470.7934654
614	470.792713
615	470.7921651
616	470.7912064
617	470.7904656
618	470.7900423
619	470.7869552
620	470.7863029
621	470.7856995
622	470.7847904
623	470.7838474
624	470.782477
625	470.7821181
626	470.7784645
627	470.7773127
628	470.7765358
629	470.7752198
630	470.774323
631	470.7726811
632	470.7724907
633	470.772157
634	470.7703115
635	470.7698091
636	470.7691468
637	470.7674223
638	470.7672107
639	470.7667043
640	470.7662514
641	470.764611
642	470.7639262
643	470.7633915
644	470.7622771
645	470.7616727
646	470.7609031
647	470.7595308
648	470.7582391
649	470.7574404
650	470.7557578
651	470.7553901
652	470.7536457
653	470.7524575
654	470.7518045
655	470.75126
656	470.750809
657	470.7490948
658	470.7482921
659	470.7470551
660	470.7459385
661	470.7454826
662	470.7448608
663	470.7440654
664	470.7437939
665	470.7433718
666	470.7417972
667	470.7408687
668	470.7401042
669	470.7386071
670	470.7380576
671	470.7373485
672	470.7360504
673	470.7358485
674	470.7332316
675	470.7330193
676	470.7325735
677	470.7319859
678	470.73153
679	470.7311506
680	470.7308995
681	470.7303414
682	470.7287388
683	470.7284555
684	470.7268866
685	470.7266247
686	470.7240308
687	470.7226768
688	470.7218305
689	470.7206847
690	470.7196543
691	470.7180337
692	470.7175016
693	470.7151023
694	470.71499
695	470.7127154
696	470.7107072
697	470.7100491
698	470.7084547
699	470.7071197
700	470.7066521
701	470.7057906
702	470.704495
703	470.7040513
704	470.7029406
705	470.7026224
706	470.7006672
707	470.6997557
708	470.699181
709	470.6981686
710	470.6970361
711	470.6963612
712	470.6958893
713	470.6947188
714	470.6942813
715	470.6933939
716	470.691593
717	470.6907056
718	470.6902941
719	470.6886562
720	470.6874743
721	470.6869343
722	470.6865534
723	470.6843239
724	470.6838978
725	470.6828055
726	470.682428
727	470.6821151
728	470.6797739
729	470.6793103
730	470.6783476
731	470.6769842
732	470.6765055
733	470.6760549
734	470.6748046
735	470.6745318
736	470.6738444
737	470.6735375
738	470.6729085
739	470.6726632
740	470.6722572
741	470.6720493
742	470.6716819
743	470.6713521
744	470.671004
745	470.6702287
746	470.6696023
747	470.6692806
748	470.6686941
749	470.6683309
750	470.6668437
751	470.6664452
752	470.6656337
753	470.6650278
754	470.6636533
755	470.6612
756	470.6597941
757	470.6581221
758	470.6578295
759	470.6571932
760	470.6537877
761	470.6529645
762	470.6518854
763	470.6513552
764	470.6508128
765	470.6505922
766	470.6485118
767	470.6471683
768	470.6468952
769	470.644623
770	470.6425678
771	470.642127
772	470.6417351
773	470.640884
774	470.6378284
775	470.6367547
776	470.6360999
777	470.6354971
778	470.6351943
779	470.6336976
780	470.6326206
781	470.6321022
782	470.6295507
783	470.628397
784	470.6272567
785	470.6269962
786	470.626633
787	470.6263226
788	470.6257756
789	470.6254747
790	470.6251952
791	470.624738
792	470.6228114
793	470.6227274
794	470.6224778
795	470.6218511
796	470.6215205
797	470.6213052
798	470.6199662
799	470.6176399
800	470.6157694
801	470.6154264
802	470.6145776
803	470.6143358
804	470.6115279
805	470.6114315
806	470.610955
807	470.6098858
808	470.6094381
809	470.6088012
810	470.6081466
811	470.6052029
812	470.6042644
813	470.6033133
814	470.6013741
815	470.6011513
816	470.6008654
817	470.6002695
818	470.5992776
819	470.5989695
820	470.597917
821	470.5971753
822	470.5960378
823	470.5957437
824	470.5954409
825	470.5951125
826	470.5946957
827	470.593686
828	470.5932077
829	470.5921602
830	470.5917219
831	470.5914621
832	470.5906005
833	470.5903259
834	470.5891533
835	470.5884194
836	470.5876709
837	470.5864671
838	470.5860967
839	470.5857036
840	470.5853574
841	470.5848568
842	470.5844516
843	470.5843319
844	470.5840215
845	470.5826497
846	470.5820382
847	470.5816956
848	470.5811837
849	470.5804814
850	470.5801045
851	470.5796057
852	470.5793363
853	470.5785577
854	470.5768807
855	470.5764495
856	470.5758917
857	470.5756283
858	470.5752004
859	470.574892
860	470.5728974
861	470.5725919
862	470.5724583
863	470.5712575
864	470.5697153
865	470.5692687
866	470.5687893
867	470.5685999
868	470.567916
869	470.5672628
870	470.5668687
871	470.566714
872	470.5661376
873	470.5658402
874	470.5654055
875	470.5651992
876	470.5648653
877	470.562189
878	470.5619288
879	470.5617596
880	470.5592305
881	470.5588215
882	470.5579699
883	470.5574632
884	470.556642
885	470.5561998
886	470.556012
887	470.5548453
888	470.554281
889	470.5537153
890	470.5534148
891	470.5530657
892	470.5525841
893	470.5523227
894	470.5521221
895	470.5517456
896	470.5515155
897	470.5507702
898	470.5498508
899	470.5492082
900	470.5481855
901	470.5470416
902	470.5460285
903	470.5457615
904	470.5451338
905	470.5445556
906	470.543918
907	470.543551
908	470.5429954
909	470.5411025
910	470.5405236
911	470.5401308
912	470.5399159
913	470.5397416
914	470.5393946
915	470.5390789
916	470.5386156
917	470.538365
918	470.538218
919	470.5376287
920	470.5357686
921	470.5354114
922	470.5352399
923	470.5349108
924	470.5347194
925	470.5344423
926	470.5339771
927	470.5322648
928	470.531809
929	470.5315644
930	470.5311094
931	470.530949
932	470.530334
933	470.5292379
934	470.5290354
935	470.5284016
936	470.528099
937	470.5265176
938	470.5262763
939	470.5261217
940	470.5255052
941	470.5253093
942	470.5251248
943	470.5246979
944	470.5240187
945	470.5235563
946	470.5232617
947	470.5225743
948	470.5216528
949	470.5213333
950	470.5210414
951	470.5208257
952	470.5201117
953	470.5194235
954	470.5177465
955	470.5171791
956	470.5162738
957	470.5139911
958	470.5135754
959	470.5131357
960	470.5128145
961	470.5125175
962	470.5112987
963	470.5103204
964	470.5096825
965	470.5095266
966	470.5093063
967	470.5085427
968	470.5083507
969	470.5080475
970	470.5075533
971	470.5068705
972	470.5058826
973	470.5057931
974	470.5055704
975	470.5050029
976	470.5047944
977	470.5042786
978	470.5041288
979	470.5036307
980	470.5033238
981	470.502796
982	470.5022692
983	470.50204
984	470.5013597
985	470.5002763
986	470.5000842
987	470.4996534
988	470.4989683
989	470.4987444
990	470.4981083
991	470.4975115
992	470.4972499
993	470.4955096
994	470.4952657
995	470.4939881
996	470.4930609
997	470.4922034
998	470.4919213
999	470.4915871
