iter	Passed	Remaining
0	57	56964
1	66	33237
2	79	26393
3	88	22126
4	98	19517
5	107	17825
6	116	16514
7	124	15487
8	132	14623
9	141	13991
10	149	13472
11	158	13090
12	167	12680
13	175	12389
14	184	12145
15	193	11915
16	201	11643
17	209	11450
18	218	11283
19	224	11015
20	232	10848
21	241	10724
22	248	10575
23	256	10444
24	263	10260
25	271	10177
26	280	10092
27	288	10019
28	296	9939
29	304	9854
30	313	9799
31	321	9735
32	331	9701
33	338	9628
34	346	9561
35	355	9516
36	363	9464
37	371	9403
38	379	9355
39	388	9327
40	396	9277
41	404	9233
42	413	9198
43	421	9154
44	429	9122
45	438	9098
46	447	9067
47	454	9022
48	459	8910
49	467	8881
50	476	8864
51	485	8846
52	494	8827
53	502	8804
54	509	8752
55	518	8735
56	526	8703
57	534	8686
58	542	8656
59	551	8634
60	559	8609
61	567	8591
62	575	8564
63	584	8551
64	593	8534
65	601	8509
66	613	8546
67	622	8531
68	631	8515
69	639	8498
70	647	8474
71	656	8459
72	663	8431
73	672	8409
74	680	8390
75	689	8378
76	697	8363
77	705	8338
78	713	8320
79	723	8315
80	731	8296
81	739	8273
82	747	8258
83	756	8245
84	765	8236
85	773	8224
86	782	8213
87	791	8200
88	800	8197
89	818	8272
90	835	8347
91	857	8467
92	866	8449
93	874	8428
94	882	8406
95	889	8380
96	897	8355
97	906	8342
98	914	8321
99	922	8301
100	937	8341
101	946	8330
102	954	8316
103	976	8408
104	990	8442
105	1004	8468
106	1015	8473
107	1027	8484
108	1040	8505
109	1049	8488
110	1057	8470
111	1065	8449
112	1075	8442
113	1086	8441
114	1094	8422
115	1102	8404
116	1116	8425
117	1133	8474
118	1141	8451
119	1150	8439
120	1159	8420
121	1166	8394
122	1174	8377
123	1183	8358
124	1190	8334
125	1198	8311
126	1205	8289
127	1213	8267
128	1221	8249
129	1228	8224
130	1237	8208
131	1245	8187
132	1251	8160
133	1260	8145
134	1268	8124
135	1276	8106
136	1281	8070
137	1289	8057
138	1297	8034
139	1305	8020
140	1314	8005
141	1323	7999
142	1327	7957
143	1329	7905
144	1337	7886
145	1344	7864
146	1352	7848
147	1358	7822
148	1365	7799
149	1372	7778
150	1380	7764
151	1388	7745
152	1395	7727
153	1402	7705
154	1410	7692
155	1418	7673
156	1427	7662
157	1435	7647
158	1442	7631
159	1451	7618
160	1458	7602
161	1467	7592
162	1475	7579
163	1484	7565
164	1491	7548
165	1499	7533
166	1508	7522
167	1516	7510
168	1524	7494
169	1532	7479
170	1542	7476
171	1553	7480
172	1563	7471
173	1571	7461
174	1575	7425
175	1584	7416
176	1592	7403
177	1600	7388
178	1608	7376
179	1616	7364
180	1624	7352
181	1632	7335
182	1639	7321
183	1648	7310
