id,item_id,dept_id,cat_id,store_id,state_id,d,sales,wm_yr_wk,event_name_1,snap_CA,snap_TX,snap_WI,sell_price,d_num
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,d_1,0.0,11101,None,0,0,0,,1
HOBBIES_2_004_CA_3_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_3,CA,d_1,0.0,11101,None,0,0,0,,1
HOUSEHOLD_1_020_CA_3_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_1,0.0,11101,None,0,0,0,,1
FOODS_2_096_CA_3_evaluation,FOODS_2_096,FOODS_2,FOODS,CA_3,CA,d_1,0.0,11101,None,0,0,0,,1
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_1,108.0,11101,None,0,0,0,1.25,1
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,d_1,0.0,11101,None,0,0,0,,1
HOBBIES_2_004_TX_1_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,d_1,0.0,11101,None,0,0,0,,1
HOUSEHOLD_1_020_TX_1_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,d_1,0.0,11101,None,0,0,0,,1
FOODS_2_096_TX_1_evaluation,FOODS_2_096,FOODS_2,FOODS,TX_1,TX,d_1,0.0,11101,None,0,0,0,,1
FOODS_3_090_TX_1_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_1,75.0,11101,None,0,0,0,1.25,1
HOBBIES_1_001_WI_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_2,WI,d_1,0.0,11101,None,0,0,0,,1
HOBBIES_2_004_WI_2_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,WI_2,WI,d_1,1.0,11101,None,0,0,0,2.57,1
HOUSEHOLD_1_020_WI_2_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_1,0.0,11101,None,0,0,0,,1
FOODS_2_096_WI_2_evaluation,FOODS_2_096,FOODS_2,FOODS,WI_2,WI,d_1,0.0,11101,None,0,0,0,,1
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_1,38.0,11101,None,0,0,0,1.25,1
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,d_2,0.0,11101,None,0,0,0,,2
HOBBIES_2_004_CA_3_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_3,CA,d_2,0.0,11101,None,0,0,0,,2
HOUSEHOLD_1_020_CA_3_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_2,0.0,11101,None,0,0,0,,2
FOODS_2_096_CA_3_evaluation,FOODS_2_096,FOODS_2,FOODS,CA_3,CA,d_2,0.0,11101,None,0,0,0,,2
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_2,132.0,11101,None,0,0,0,1.25,2
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,d_2,0.0,11101,None,0,0,0,,2
HOBBIES_2_004_TX_1_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,d_2,0.0,11101,None,0,0,0,,2
HOUSEHOLD_1_020_TX_1_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,d_2,0.0,11101,None,0,0,0,,2
FOODS_2_096_TX_1_evaluation,FOODS_2_096,FOODS_2,FOODS,TX_1,TX,d_2,0.0,11101,None,0,0,0,,2
FOODS_3_090_TX_1_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_2,54.0,11101,None,0,0,0,1.25,2
HOBBIES_1_001_WI_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_2,WI,d_2,0.0,11101,None,0,0,0,,2
HOBBIES_2_004_WI_2_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,WI_2,WI,d_2,1.0,11101,None,0,0,0,2.57,2
HOUSEHOLD_1_020_WI_2_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_2,0.0,11101,None,0,0,0,,2
FOODS_2_096_WI_2_evaluation,FOODS_2_096,FOODS_2,FOODS,WI_2,WI,d_2,0.0,11101,None,0,0,0,,2
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_2,35.0,11101,None,0,0,0,1.25,2
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,d_3,0.0,11101,None,0,0,0,,3
HOBBIES_2_004_CA_3_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_3,CA,d_3,0.0,11101,None,0,0,0,,3
HOUSEHOLD_1_020_CA_3_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_3,0.0,11101,None,0,0,0,,3
FOODS_2_096_CA_3_evaluation,FOODS_2_096,FOODS_2,FOODS,CA_3,CA,d_3,0.0,11101,None,0,0,0,,3
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_3,102.0,11101,None,0,0,0,1.25,3
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,d_3,0.0,11101,None,0,0,0,,3
HOBBIES_2_004_TX_1_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,d_3,0.0,11101,None,0,0,0,,3
HOUSEHOLD_1_020_TX_1_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,d_3,0.0,11101,None,0,0,0,,3
FOODS_2_096_TX_1_evaluation,FOODS_2_096,FOODS_2,FOODS,TX_1,TX,d_3,0.0,11101,None,0,0,0,,3
FOODS_3_090_TX_1_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_3,74.0,11101,None,0,0,0,1.25,3
HOBBIES_1_001_WI_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_2,WI,d_3,0.0,11101,None,0,0,0,,3
HOBBIES_2_004_WI_2_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,WI_2,WI,d_3,0.0,11101,None,0,0,0,2.57,3
HOUSEHOLD_1_020_WI_2_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_3,0.0,11101,None,0,0,0,,3
FOODS_2_096_WI_2_evaluation,FOODS_2_096,FOODS_2,FOODS,WI_2,WI,d_3,0.0,11101,None,0,0,0,,3
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_3,24.0,11101,None,0,0,0,1.25,3
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,d_4,0.0,11101,None,1,1,0,,4
HOBBIES_2_004_CA_3_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_3,CA,d_4,0.0,11101,None,1,1,0,,4
HOUSEHOLD_1_020_CA_3_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_4,0.0,11101,None,1,1,0,,4
FOODS_2_096_CA_3_evaluation,FOODS_2_096,FOODS_2,FOODS,CA_3,CA,d_4,0.0,11101,None,1,1,0,,4
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_4,120.0,11101,None,1,1,0,1.25,4
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,d_4,0.0,11101,None,1,1,0,,4
HOBBIES_2_004_TX_1_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,d_4,0.0,11101,None,1,1,0,,4
HOUSEHOLD_1_020_TX_1_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,d_4,0.0,11101,None,1,1,0,,4
FOODS_2_096_TX_1_evaluation,FOODS_2_096,FOODS_2,FOODS,TX_1,TX,d_4,0.0,11101,None,1,1,0,,4
FOODS_3_090_TX_1_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_4,62.0,11101,None,1,1,0,1.25,4
HOBBIES_1_001_WI_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_2,WI,d_4,0.0,11101,None,1,1,0,,4
HOBBIES_2_004_WI_2_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,WI_2,WI,d_4,0.0,11101,None,1,1,0,2.57,4
HOUSEHOLD_1_020_WI_2_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,WI_2,WI,d_4,0.0,11101,None,1,1,0,,4
FOODS_2_096_WI_2_evaluation,FOODS_2_096,FOODS_2,FOODS,WI_2,WI,d_4,0.0,11101,None,1,1,0,,4
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_4,44.0,11101,None,1,1,0,1.25,4
HOBBIES_1_001_CA_3_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_3,CA,d_5,0.0,11101,None,1,0,1,,5
HOBBIES_2_004_CA_3_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,CA_3,CA,d_5,0.0,11101,None,1,0,1,,5
HOUSEHOLD_1_020_CA_3_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,CA_3,CA,d_5,0.0,11101,None,1,0,1,,5
FOODS_2_096_CA_3_evaluation,FOODS_2_096,FOODS_2,FOODS,CA_3,CA,d_5,0.0,11101,None,1,0,1,,5
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_5,106.0,11101,None,1,0,1,1.25,5
HOBBIES_1_001_TX_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,TX_1,TX,d_5,0.0,11101,None,1,0,1,,5
HOBBIES_2_004_TX_1_evaluation,HOBBIES_2_004,HOBBIES_2,HOBBIES,TX_1,TX,d_5,0.0,11101,None,1,0,1,,5
HOUSEHOLD_1_020_TX_1_evaluation,HOUSEHOLD_1_020,HOUSEHOLD_1,HOUSEHOLD,TX_1,TX,d_5,0.0,11101,None,1,0,1,,5
FOODS_2_096_TX_1_evaluation,FOODS_2_096,FOODS_2,FOODS,TX_1,TX,d_5,0.0,11101,None,1,0,1,,5
FOODS_3_090_TX_1_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_1,TX,d_5,60.0,11101,None,1,0,1,1.25,5
HOBBIES_1_001_WI_2_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,WI_2,WI,d_5,0.0,11101,None,1,0,1,,5
