id,item_id,dept_id,cat_id,store_id,state_id,d,sales,wm_yr_wk,event_name_1,snap_CA,snap_TX,snap_WI,sell_price,d_num
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_1,108.0,11101,None,0,0,0,1.25,1
FOODS_3_252_CA_3_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,d_1,39.0,11101,None,0,0,0,1.48,1
FOODS_3_586_CA_3_evaluation,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,d_1,56.0,11101,None,0,0,0,1.48,1
FOODS_3_090_TX_2_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX,d_1,164.0,11101,None,0,0,0,1.25,1
FOODS_3_252_TX_2_evaluation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX,d_1,52.0,11101,None,0,0,0,1.48,1
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_1,98.0,11101,None,0,0,0,1.48,1
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_1,38.0,11101,None,0,0,0,1.25,1
FOODS_3_252_WI_2_evaluation,FOODS_3_252,FOODS_3,FOODS,WI_2,WI,d_1,7.0,11101,None,0,0,0,1.48,1
FOODS_3_586_WI_2_evaluation,FOODS_3_586,FOODS_3,FOODS,WI_2,WI,d_1,25.0,11101,None,0,0,0,1.48,1
FOODS_3_090_WI_3_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_3,WI,d_1,130.0,11101,None,0,0,0,1.25,1
FOODS_3_252_WI_3_evaluation,FOODS_3_252,FOODS_3,FOODS,WI_3,WI,d_1,22.0,11101,None,0,0,0,1.48,1
FOODS_3_586_WI_3_evaluation,FOODS_3_586,FOODS_3,FOODS,WI_3,WI,d_1,61.0,11101,None,0,0,0,1.48,1
FOODS_3_090_CA_3_evaluation,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,d_2,132.0,11101,None,0,0,0,1.25,2
FOODS_3_252_CA_3_evaluation,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,d_2,38.0,11101,None,0,0,0,1.48,2
FOODS_3_586_CA_3_evaluation,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,d_2,55.0,11101,None,0,0,0,1.48,2
FOODS_3_090_TX_2_evaluation,FOODS_3_090,FOODS_3,FOODS,TX_2,TX,d_2,215.0,11101,None,0,0,0,1.25,2
FOODS_3_252_TX_2_evaluation,FOODS_3_252,FOODS_3,FOODS,TX_2,TX,d_2,52.0,11101,None,0,0,0,1.48,2
FOODS_3_586_TX_2_evaluation,FOODS_3_586,FOODS_3,FOODS,TX_2,TX,d_2,85.0,11101,None,0,0,0,1.48,2
FOODS_3_090_WI_2_evaluation,FOODS_3_090,FOODS_3,FOODS,WI_2,WI,d_2,35.0,11101,None,0,0,0,1.25,2
FOODS_3_252_WI_2_evaluation,FOODS_3_252,FOODS_3,FOODS,WI_2,WI,d_2,0.0,11101,None,0,0,0,1.48,2
